data_id,r,duration,method,dataset
0,0.04513950328808493,0.054889678955078125,random,logmap
1,0.05114607092617078,0.053948163986206055,random,logmap
2,0.04674784898852257,0.05331230163574219,random,logmap
3,0.0458391329348436,0.053105831146240234,random,logmap
4,0.046483427031341853,0.05309629440307617,random,logmap
5,0.02520862518383695,0.05449867248535156,random,logmap
6,0.04956830697446115,0.05357551574707031,random,logmap
7,0.04729475594462384,0.053015708923339844,random,logmap
8,0.0487971974387519,0.05273032188415527,random,logmap
9,0.058346875089136184,0.05240488052368164,random,logmap
10,0.05009563899413313,0.053353309631347656,random,logmap
11,0.01788098393735832,0.053018808364868164,random,logmap
12,0.014991707940532185,0.05327630043029785,random,logmap
13,0.046802422808651274,0.05297565460205078,random,logmap
14,0.059384010048444784,0.05297207832336426,random,logmap
15,0.04816531326610677,0.052680015563964844,random,logmap
16,0.022626004890280327,0.053316354751586914,random,logmap
17,0.0491327339618646,0.05312395095825195,random,logmap
18,0.05365738445742631,0.05312490463256836,random,logmap
19,0.04437773618147021,0.05614662170410156,random,logmap
20,0.04982833006412367,0.05309700965881348,random,logmap
21,0.05348953125981956,0.052625417709350586,random,logmap
22,0.03693438252438008,0.05289649963378906,random,logmap
23,0.052096769482108514,0.05306744575500488,random,logmap
24,0.048391525280677236,0.05335116386413574,random,logmap
25,0.05164211956402289,0.054039716720581055,random,logmap
26,0.05669992042797483,0.05363011360168457,random,logmap
27,0.05168460508830351,0.053435325622558594,random,logmap
28,0.05870861631910667,0.05360674858093262,random,logmap
29,0.05896450450147614,0.05367875099182129,random,logmap
30,0.04912002750521682,0.05265235900878906,random,logmap
31,0.051281585766568334,0.05308198928833008,random,logmap
32,0.05049589468901493,0.052968502044677734,random,logmap
33,0.01741871458651068,0.05594468116760254,random,logmap
34,0.051104791951705815,0.052541255950927734,random,logmap
35,0.05417697925902875,0.052501678466796875,random,logmap
36,0.04822212513144998,0.05328822135925293,random,logmap
37,0.052126335352617244,0.04959750175476074,random,logmap
38,0.05208458912674333,0.04678225517272949,random,logmap
39,0.05357477897550696,0.046202898025512695,random,logmap
40,0.0511550718339287,0.0461275577545166,random,logmap
41,0.025957333608117025,0.045841217041015625,random,logmap
42,0.04588282227234126,0.04596376419067383,random,logmap
43,0.046264304766506746,0.04695439338684082,random,logmap
44,0.04668539735943551,0.04814887046813965,random,logmap
45,0.049828413309058586,0.04618191719055176,random,logmap
46,0.04789370129080754,0.046091556549072266,random,logmap
47,0.04495587350474178,0.04685473442077637,random,logmap
48,0.05177440348234191,0.04700803756713867,random,logmap
49,0.04165215247306855,0.04691648483276367,random,logmap
