data_id,r,duration,method,dataset,length
0,0.0888294212610909,0.011359930038452148,random,logmap,4242
1,0.09521576665053232,0.011366605758666992,random,logmap,4242
2,0.07918016197259,0.011391162872314453,random,logmap,4242
3,0.0862282447684887,0.011353254318237305,random,logmap,4242
4,0.10347215080296789,0.011228322982788086,random,logmap,4242
5,0.04198286226365277,0.011310100555419922,random,logmap,4242
6,0.0760416185028279,0.011261701583862305,random,logmap,4242
7,0.08054906103788624,0.011348485946655273,random,logmap,4242
8,0.07749091415544963,0.011231422424316406,random,logmap,4242
9,0.09447928619903448,0.011317253112792969,random,logmap,4242
10,0.09422068164464004,0.011316537857055664,random,logmap,4242
11,0.037014178931379205,0.011322736740112305,random,logmap,4242
12,0.0403603937102018,0.011372089385986328,random,logmap,4242
13,0.06725659868149945,0.011450529098510742,random,logmap,4242
14,0.07421527239956668,0.011550188064575195,random,logmap,4242
15,0.08007653985039401,0.011221170425415039,random,logmap,4242
16,0.040842662332473474,0.011517524719238281,random,logmap,4242
17,0.09979970910290567,0.01159524917602539,random,logmap,4242
18,0.0855822080022811,0.011400222778320312,random,logmap,4242
19,0.06869847301225263,0.011563777923583984,random,logmap,4242
20,0.08658918290331591,0.011521100997924805,random,logmap,4242
21,0.07824209808541858,0.011361360549926758,random,logmap,4242
22,0.03805402829106073,0.011702537536621094,random,logmap,4242
23,0.08849125189342875,0.01184391975402832,random,logmap,4242
24,0.09075241365696345,0.011975288391113281,random,logmap,4242
25,0.08916930891843,0.011487483978271484,random,logmap,4242
26,0.07387282941456293,0.011454343795776367,random,logmap,4242
27,0.082034070518721,0.011382579803466797,random,logmap,4242
28,0.08425914482848774,0.011449098587036133,random,logmap,4242
29,0.0842304416997305,0.011626482009887695,random,logmap,4242
30,0.0771559649996152,0.011314868927001953,random,logmap,4242
31,0.08061078501807374,0.011465787887573242,random,logmap,4242
32,0.07680207580138478,0.011075258255004883,random,logmap,4242
33,0.0380370849712274,0.011429309844970703,random,logmap,4242
34,0.08465154784595469,0.011512279510498047,random,logmap,4242
35,0.07457211943246093,0.011590957641601562,random,logmap,4242
36,0.08254768640587935,0.011261463165283203,random,logmap,4242
37,0.0706234959513934,0.011563301086425781,random,logmap,4242
38,0.08449429161205466,0.011660575866699219,random,logmap,4242
39,0.08466379351263878,0.011285781860351562,random,logmap,4242
40,0.07214100315745581,0.011531352996826172,random,logmap,4242
41,0.0522409008459774,0.011343240737915039,random,logmap,4242
42,0.08858024925396786,0.011410236358642578,random,logmap,4242
43,0.08129758866247727,0.011530637741088867,random,logmap,4242
44,0.07993790097246853,0.012130498886108398,random,logmap,4242
45,0.09562252310665088,0.011893033981323242,random,logmap,4242
46,0.08657367106898375,0.011521577835083008,random,logmap,4242
47,0.08633049561504068,0.011725187301635742,random,logmap,4242
48,0.08881179640888666,0.011574029922485352,random,logmap,4242
49,0.10888462246033233,0.011588096618652344,random,logmap,4242
