data_id,r,duration,method,dataset,length
0,0.1649708977720251,0.039273977279663086,SFA,logmap,8227
1,0.10481285265311814,0.054969072341918945,SFA,logmap,8227
2,0.1486174589314514,0.055060386657714844,SFA,logmap,8227
3,0.15294146342886203,0.05530357360839844,SFA,logmap,8227
4,0.2598686630661989,0.055121660232543945,SFA,logmap,8227
5,0.027629789747643373,0.05519533157348633,SFA,logmap,8227
6,0.19124126758028917,0.055197715759277344,SFA,logmap,8227
7,0.09060839394990797,0.0549921989440918,SFA,logmap,8227
8,0.20705695833671567,0.05552029609680176,SFA,logmap,8227
9,0.08493689251922137,0.054863929748535156,SFA,logmap,8227
10,0.1622811502235269,0.05521345138549805,SFA,logmap,8227
11,0.00973555535614565,0.055307865142822266,SFA,logmap,8227
12,0.014516179798141298,0.05481362342834473,SFA,logmap,8227
13,0.14195835774564558,0.0520319938659668,SFA,logmap,8227
14,0.14908031159593818,0.0364837646484375,SFA,logmap,8227
15,0.15350290153839366,0.036292314529418945,SFA,logmap,8227
16,0.006510580595082385,0.036162376403808594,SFA,logmap,8227
17,0.12212998801561195,0.036472320556640625,SFA,logmap,8227
18,0.18981971099016595,0.03611254692077637,SFA,logmap,8227
19,0.11072453850135433,0.036351919174194336,SFA,logmap,8227
20,0.18248334690145998,0.03631162643432617,SFA,logmap,8227
21,0.08945167022306735,0.03635525703430176,SFA,logmap,8227
22,0.006495940054121169,0.036360740661621094,SFA,logmap,8227
23,0.18150911406498066,0.03639698028564453,SFA,logmap,8227
24,0.19285356028958767,0.03627920150756836,SFA,logmap,8227
25,0.23384077719824198,0.03637099266052246,SFA,logmap,8227
26,0.13215794613191753,0.036238670349121094,SFA,logmap,8227
27,0.14026899507046847,0.036261796951293945,SFA,logmap,8227
28,0.18513424694134653,0.036182403564453125,SFA,logmap,8227
29,0.2115021480495399,0.03621554374694824,SFA,logmap,8227
30,0.2108198939178856,0.036214590072631836,SFA,logmap,8227
31,0.07724498592063213,0.03630828857421875,SFA,logmap,8227
32,0.2022482739955111,0.03624105453491211,SFA,logmap,8227
33,0.007495197411754013,0.0363926887512207,SFA,logmap,8227
34,0.0933610842704131,0.03621864318847656,SFA,logmap,8227
35,0.1168946317030239,0.03631949424743652,SFA,logmap,8227
36,0.18553663293505165,0.04673457145690918,SFA,logmap,8227
37,0.24654765937487683,0.06298565864562988,SFA,logmap,8227
38,0.1830498020339747,0.06102466583251953,SFA,logmap,8227
39,0.14064561717076582,0.0376129150390625,SFA,logmap,8227
40,0.16183691595373464,0.03695797920227051,SFA,logmap,8227
41,0.014911288871508709,0.037075042724609375,SFA,logmap,8227
42,0.15542063952065552,0.03701901435852051,SFA,logmap,8227
43,0.100354487960852,0.03849053382873535,SFA,logmap,8227
44,0.1562688739635466,0.03636956214904785,SFA,logmap,8227
45,0.30819637090536994,0.036524295806884766,SFA,logmap,8227
46,0.18446531221905793,0.03649091720581055,SFA,logmap,8227
47,0.10910508847672859,0.036229610443115234,SFA,logmap,8227
48,0.07388525696639052,0.04283857345581055,SFA,logmap,8227
49,0.10501604397964334,0.03773188591003418,SFA,logmap,8227
