data_id,r,duration,method,dataset,length
0,0.7158635883498343,0.09474563598632812,PCA,logmap,15954
1,0.7347531737853035,0.09439730644226074,PCA,logmap,15954
2,0.7206621588636295,0.09541106224060059,PCA,logmap,15954
3,0.7120436853036117,0.09474349021911621,PCA,logmap,15954
4,0.5947840084879381,0.09550023078918457,PCA,logmap,15954
5,0.7162417501023529,0.09469437599182129,PCA,logmap,15954
6,0.6270255794028378,0.09583067893981934,PCA,logmap,15954
7,0.7545193669867883,0.09484386444091797,PCA,logmap,15954
8,0.6475222900397093,0.09611916542053223,PCA,logmap,15954
9,0.7691814032647586,0.09882450103759766,PCA,logmap,15954
10,0.653626337293082,0.09601521492004395,PCA,logmap,15954
11,0.607194029518992,0.09456038475036621,PCA,logmap,15954
12,0.6659544535560193,0.09565329551696777,PCA,logmap,15954
13,0.6486223364511599,0.09551358222961426,PCA,logmap,15954
14,0.7232484586434946,0.09519624710083008,PCA,logmap,15954
15,0.48012304415878326,0.0951385498046875,PCA,logmap,15954
16,0.9130573077486165,0.09877562522888184,PCA,logmap,15954
17,0.7550268096793098,0.10177373886108398,PCA,logmap,15954
18,0.6853548935182798,0.1140594482421875,PCA,logmap,15954
19,0.7678952633249849,0.10602807998657227,PCA,logmap,15954
20,0.7108370614581566,0.09562349319458008,PCA,logmap,15954
21,0.786910724472999,0.09589385986328125,PCA,logmap,15954
22,0.8894771706377423,0.09539532661437988,PCA,logmap,15954
23,0.72625886837765,0.09476804733276367,PCA,logmap,15954
24,0.5800382639490491,0.09542703628540039,PCA,logmap,15954
25,0.6349255753753573,0.0955960750579834,PCA,logmap,15954
26,0.7459997554480782,0.09530186653137207,PCA,logmap,15954
27,0.7257065363002296,0.09519457817077637,PCA,logmap,15954
28,0.6748915774509797,0.09513664245605469,PCA,logmap,15954
29,0.5550140643684836,0.09517264366149902,PCA,logmap,15954
30,0.6841299782254054,0.0951540470123291,PCA,logmap,15954
31,0.665971971539026,0.09504532814025879,PCA,logmap,15954
32,0.5768512918896832,0.09496092796325684,PCA,logmap,15954
33,0.8944999993976658,0.09533500671386719,PCA,logmap,15954
34,0.7951654076256084,0.09521794319152832,PCA,logmap,15954
35,0.7355863955070427,0.09502887725830078,PCA,logmap,15954
36,0.689608779979341,0.09529447555541992,PCA,logmap,15954
37,0.5489619109625039,0.09538578987121582,PCA,logmap,15954
38,0.7264194830332793,0.09537720680236816,PCA,logmap,15954
39,0.7051850765029142,0.10068225860595703,PCA,logmap,15954
40,0.7307491652654086,0.09518599510192871,PCA,logmap,15954
41,0.5627787545434367,0.09525537490844727,PCA,logmap,15954
42,0.7193632748246018,0.09702324867248535,PCA,logmap,15954
43,0.7848440715708533,0.13581418991088867,PCA,logmap,15954
44,0.5432015418637635,0.10742473602294922,PCA,logmap,15954
45,0.4177408799063976,0.09906530380249023,PCA,logmap,15954
46,0.6475521170285282,0.09485101699829102,PCA,logmap,15954
47,0.7506807508784277,0.09603071212768555,PCA,logmap,15954
48,0.7627905149104907,0.09505200386047363,PCA,logmap,15954
49,0.7416919188554754,0.0959618091583252,PCA,logmap,15954
