data_id,r,duration,method,dataset,length
0,0.7142884073454377,0.19019579887390137,PCA,logmap,30940
1,0.7308848037425261,0.16594362258911133,PCA,logmap,30940
2,0.7185065901537852,0.16449189186096191,PCA,logmap,30940
3,0.7145372062957802,0.16609978675842285,PCA,logmap,30940
4,0.5902396821538868,0.1663837432861328,PCA,logmap,30940
5,0.7177325196229082,0.1671600341796875,PCA,logmap,30940
6,0.6161802069083039,0.16846847534179688,PCA,logmap,30940
7,0.7674341354269621,0.16554522514343262,PCA,logmap,30940
8,0.6399899298059464,0.16648650169372559,PCA,logmap,30940
9,0.7694362838384167,0.21051645278930664,PCA,logmap,30940
10,0.6255603480014117,0.20268964767456055,PCA,logmap,30940
11,0.6151412110288785,0.20179533958435059,PCA,logmap,30940
12,0.6720221798757474,0.20202994346618652,PCA,logmap,30940
13,0.6534270130656449,0.20496630668640137,PCA,logmap,30940
14,0.7276416757772857,0.20103740692138672,PCA,logmap,30940
15,0.46756249077624484,0.2021496295928955,PCA,logmap,30940
16,0.9133019662092831,0.2024986743927002,PCA,logmap,30940
17,0.755865272604551,0.19592571258544922,PCA,logmap,30940
18,0.6828937796718247,0.19599270820617676,PCA,logmap,30940
19,0.7697989795628752,0.18921709060668945,PCA,logmap,30940
20,0.7135540282718574,0.2439730167388916,PCA,logmap,30940
21,0.7888881217891041,0.19545602798461914,PCA,logmap,30940
22,0.891396336464469,0.19406914710998535,PCA,logmap,30940
23,0.7276813298078091,0.19451332092285156,PCA,logmap,30940
24,0.5924252657502416,0.19265127182006836,PCA,logmap,30940
25,0.6360169411379163,0.19278931617736816,PCA,logmap,30940
26,0.7411645854536415,0.19211530685424805,PCA,logmap,30940
27,0.7244410142967509,0.19364047050476074,PCA,logmap,30940
28,0.6739651192206854,0.1925816535949707,PCA,logmap,30940
29,0.5432356724145009,0.19277691841125488,PCA,logmap,30940
30,0.6830846820098916,0.19465327262878418,PCA,logmap,30940
31,0.7578437229270693,0.19636225700378418,PCA,logmap,30940
32,0.5613830132419826,0.20877790451049805,PCA,logmap,30940
33,0.8945985007569446,0.19098162651062012,PCA,logmap,30940
34,0.7868386293274537,0.19467496871948242,PCA,logmap,30940
35,0.7431447790095782,0.19333362579345703,PCA,logmap,30940
36,0.6840898259610403,0.19613146781921387,PCA,logmap,30940
37,0.5324746601651469,0.19254565238952637,PCA,logmap,30940
38,0.7170444512375246,0.1928696632385254,PCA,logmap,30940
39,0.7136208343578676,0.19318199157714844,PCA,logmap,30940
40,0.7287954851774322,0.19273042678833008,PCA,logmap,30940
41,0.5463957871419202,0.19254374504089355,PCA,logmap,30940
42,0.7137649348284644,0.19259929656982422,PCA,logmap,30940
43,0.7741643365271926,0.19252586364746094,PCA,logmap,30940
44,0.5421848858651559,0.19652581214904785,PCA,logmap,30940
45,0.418134988521145,0.1943376064300537,PCA,logmap,30940
46,0.6454063422485645,0.19219017028808594,PCA,logmap,30940
47,0.7585414255633572,0.19235825538635254,PCA,logmap,30940
48,0.7665106158170125,0.19344878196716309,PCA,logmap,30940
49,0.7421419548559443,0.19352054595947266,PCA,logmap,30940
