data_id,r,duration,method,dataset,length
0,0.04721984531046258,0.05411410331726074,random,logmap,15954
1,0.04385574191555859,0.053034067153930664,random,logmap,15954
2,0.04499967013347803,0.05252528190612793,random,logmap,15954
3,0.04424832009964532,0.052529335021972656,random,logmap,15954
4,0.04117247031809544,0.053491830825805664,random,logmap,15954
5,0.024132559183715416,0.05322599411010742,random,logmap,15954
6,0.046047254651585795,0.053197622299194336,random,logmap,15954
7,0.043149239371621906,0.053490400314331055,random,logmap,15954
8,0.05194233483091939,0.0525660514831543,random,logmap,15954
9,0.04781626853967433,0.05418705940246582,random,logmap,15954
10,0.04578998557198754,0.05411195755004883,random,logmap,15954
11,0.02193104816766061,0.05221438407897949,random,logmap,15954
12,0.022392887782154196,0.05245828628540039,random,logmap,15954
13,0.052754926280547836,0.05258536338806152,random,logmap,15954
14,0.046000181657193495,0.05381488800048828,random,logmap,15954
15,0.04608798950117854,0.05280280113220215,random,logmap,15954
16,0.029775680679594373,0.053388357162475586,random,logmap,15954
17,0.0461335870763285,0.05352449417114258,random,logmap,15954
18,0.04398288091129918,0.053348541259765625,random,logmap,15954
19,0.0500303236518465,0.05367708206176758,random,logmap,15954
20,0.042049379117997894,0.05284929275512695,random,logmap,15954
21,0.04512311026424358,0.05196738243103027,random,logmap,15954
22,0.01508997981248449,0.05257844924926758,random,logmap,15954
23,0.048122768431462175,0.05274319648742676,random,logmap,15954
24,0.046559641983067224,0.05219244956970215,random,logmap,15954
25,0.04427687551761614,0.05298900604248047,random,logmap,15954
26,0.05408769064885715,0.05299186706542969,random,logmap,15954
27,0.04818650792217969,0.05228686332702637,random,logmap,15954
28,0.04363388952730833,0.052727699279785156,random,logmap,15954
29,0.048914613527817834,0.05282735824584961,random,logmap,15954
30,0.04637695788749793,0.052269935607910156,random,logmap,15954
31,0.046920815911566584,0.0585329532623291,random,logmap,15954
32,0.04643553425850261,0.05304574966430664,random,logmap,15954
33,0.024066649896571094,0.05193161964416504,random,logmap,15954
34,0.04679631486405483,0.05302858352661133,random,logmap,15954
35,0.04488306700573405,0.05280876159667969,random,logmap,15954
36,0.04759160573289422,0.05225205421447754,random,logmap,15954
37,0.046555658429176264,0.05067300796508789,random,logmap,15954
38,0.044378076111988816,0.046005964279174805,random,logmap,15954
39,0.04576906662061181,0.04531431198120117,random,logmap,15954
40,0.047332149293595444,0.04588675498962402,random,logmap,15954
41,0.016177818284909738,0.04617881774902344,random,logmap,15954
42,0.04930705404068987,0.045682430267333984,random,logmap,15954
43,0.04325289427213937,0.04589223861694336,random,logmap,15954
44,0.04719409895783731,0.04568791389465332,random,logmap,15954
45,0.05337677218072129,0.045140743255615234,random,logmap,15954
46,0.047141323456930215,0.046051025390625,random,logmap,15954
47,0.05057061790823822,0.04621696472167969,random,logmap,15954
48,0.04138103937010424,0.04574775695800781,random,logmap,15954
49,0.049499765214587904,0.046006202697753906,random,logmap,15954
