data_id,r,duration,method,dataset,length
0,0.7230639463212888,0.026494503021240234,CCA,logmap,8227
1,0.7482359077985002,0.03320026397705078,CCA,logmap,8227
2,0.7506012009551706,0.02598094940185547,CCA,logmap,8227
3,0.7355357154154489,0.026177406311035156,CCA,logmap,8227
4,0.5946019258874067,0.026804685592651367,CCA,logmap,8227
5,0.7136919270891249,0.027147769927978516,CCA,logmap,8227
6,0.6131486190950453,0.026160001754760742,CCA,logmap,8227
7,0.786609860142871,0.026569843292236328,CCA,logmap,8227
8,0.6524899964244257,0.026252031326293945,CCA,logmap,8227
9,0.7841580161924075,0.0266420841217041,CCA,logmap,8227
10,0.6862315945070446,0.02676868438720703,CCA,logmap,8227
11,0.6972212325237672,0.027286291122436523,CCA,logmap,8227
12,0.6971674548707802,0.027493953704833984,CCA,logmap,8227
13,0.6910040293748699,0.026600122451782227,CCA,logmap,8227
14,0.7417581562948014,0.026233911514282227,CCA,logmap,8227
15,0.6569111909598178,0.026768922805786133,CCA,logmap,8227
16,0.8564164527749809,0.028163671493530273,CCA,logmap,8227
17,0.7434178678259129,0.02664470672607422,CCA,logmap,8227
18,0.7119020651083404,0.02645087242126465,CCA,logmap,8227
19,0.7948041622283853,0.02670907974243164,CCA,logmap,8227
20,0.7248772943784563,0.02688908576965332,CCA,logmap,8227
21,0.8049874053419626,0.026586294174194336,CCA,logmap,8227
22,0.8256553962746689,0.02794170379638672,CCA,logmap,8227
23,0.7493208065446241,0.02650928497314453,CCA,logmap,8227
24,0.5791823278756871,0.027086973190307617,CCA,logmap,8227
25,0.6543062644619266,0.02678537368774414,CCA,logmap,8227
26,0.7542014230479414,0.026349782943725586,CCA,logmap,8227
27,0.7450163100626139,0.02645134925842285,CCA,logmap,8227
28,0.7063981464838966,0.026461124420166016,CCA,logmap,8227
29,0.654670715491412,0.02655506134033203,CCA,logmap,8227
30,0.7118273707988663,0.026213407516479492,CCA,logmap,8227
31,0.7475167789841535,0.0271608829498291,CCA,logmap,8227
32,0.6394842447741679,0.027138710021972656,CCA,logmap,8227
33,0.7768730020389856,0.028423309326171875,CCA,logmap,8227
34,0.8210753929053392,0.026369094848632812,CCA,logmap,8227
35,0.7528723019953102,0.026281356811523438,CCA,logmap,8227
36,0.7055641609837591,0.026134490966796875,CCA,logmap,8227
37,0.6189883305859565,0.026959657669067383,CCA,logmap,8227
38,0.7278608724250019,0.026383161544799805,CCA,logmap,8227
39,0.724981665578028,0.026243209838867188,CCA,logmap,8227
40,0.7455568277048095,0.02637481689453125,CCA,logmap,8227
41,0.7159758491321533,0.027614355087280273,CCA,logmap,8227
42,0.7387320175379615,0.027001619338989258,CCA,logmap,8227
43,0.7985984605356504,0.02714228630065918,CCA,logmap,8227
44,0.64039659114491,0.02693653106689453,CCA,logmap,8227
45,0.5491491145516372,0.027792930603027344,CCA,logmap,8227
46,0.6679045921725334,0.026734113693237305,CCA,logmap,8227
47,0.7667063820637745,0.027156829833984375,CCA,logmap,8227
48,0.7918840610640607,0.026694536209106445,CCA,logmap,8227
49,0.7516930863946827,0.027120351791381836,CCA,logmap,8227
