data_id,r,duration,method,dataset
0,0.14633740691393515,0.21118927001953125,SFA,logmap
1,0.13657308951987437,0.1918933391571045,SFA,logmap
2,0.15605789159210226,0.20174670219421387,SFA,logmap
3,0.13743618601853033,0.19910097122192383,SFA,logmap
4,0.2671302593648315,0.21150970458984375,SFA,logmap
5,0.022529461318664214,0.12783455848693848,SFA,logmap
6,0.17795458470355313,0.20499587059020996,SFA,logmap
7,0.1127512171204803,0.17522025108337402,SFA,logmap
8,0.23397354736043446,0.18251872062683105,SFA,logmap
9,0.10427994931411859,0.1478888988494873,SFA,logmap
10,0.16128798385905976,0.23816943168640137,SFA,logmap
11,0.007261939656522918,0.12274742126464844,SFA,logmap
12,0.015726894705881372,0.14017724990844727,SFA,logmap
13,0.1893523569468765,0.14810895919799805,SFA,logmap
14,0.1234065787530934,0.126420259475708,SFA,logmap
15,0.16375759601892179,0.21172285079956055,SFA,logmap
16,0.0039046149589921173,0.20892596244812012,SFA,logmap
17,0.12495814365235713,0.1763904094696045,SFA,logmap
18,0.21589917184236737,0.20250320434570312,SFA,logmap
19,0.11173596314609573,0.18587970733642578,SFA,logmap
20,0.160306219565841,0.23308444023132324,SFA,logmap
21,0.08320472446004798,0.2076566219329834,SFA,logmap
22,0.005794828994607403,0.23833560943603516,SFA,logmap
23,0.15633573559429176,0.20761537551879883,SFA,logmap
24,0.23652238364789063,0.1526334285736084,SFA,logmap
25,0.24473217183116275,0.16841530799865723,SFA,logmap
26,0.12264738729039731,0.24625420570373535,SFA,logmap
27,0.16019323768068636,0.2079164981842041,SFA,logmap
28,0.18221705943154173,0.13440752029418945,SFA,logmap
29,0.20320496557788512,0.20337724685668945,SFA,logmap
30,0.18233491158267776,0.14096283912658691,SFA,logmap
31,0.0747775840823978,0.13833928108215332,SFA,logmap
32,0.19009543465196538,0.20321083068847656,SFA,logmap
33,0.008259182770714307,0.23308849334716797,SFA,logmap
34,0.10394205138792041,0.11719775199890137,SFA,logmap
35,0.10696871558162299,0.2140052318572998,SFA,logmap
36,0.17607152901922615,0.24529576301574707,SFA,logmap
37,0.20916779768547883,0.17593097686767578,SFA,logmap
38,0.1860702819354236,0.13179516792297363,SFA,logmap
39,0.15028980820658783,0.2003474235534668,SFA,logmap
40,0.16273327788670283,0.13113951683044434,SFA,logmap
41,0.009974649808004603,0.2606818675994873,SFA,logmap
42,0.14644087811554365,0.13166117668151855,SFA,logmap
43,0.11636854368045575,0.175523042678833,SFA,logmap
44,0.1598458067787272,0.14258837699890137,SFA,logmap
45,0.32591283757894385,0.2243821620941162,SFA,logmap
46,0.19510756620685538,0.1701524257659912,SFA,logmap
47,0.10371164142708794,0.21317338943481445,SFA,logmap
48,0.08801888699577289,0.23852229118347168,SFA,logmap
49,0.09041437737457327,0.16322731971740723,SFA,logmap
