data_id,r,duration,method,dataset,length
0,0.6764694407946837,1.124159574508667,RecurrenceManifold,logmap,8227
1,0.6905107293672345,1.1108851432800293,RecurrenceManifold,logmap,8227
2,0.6702845834577331,1.1071958541870117,RecurrenceManifold,logmap,8227
3,0.6716503180068135,1.130211353302002,RecurrenceManifold,logmap,8227
4,0.5707474307351074,1.1348721981048584,RecurrenceManifold,logmap,8227
5,0.7498089988243567,1.147207260131836,RecurrenceManifold,logmap,8227
6,0.5913328897657635,1.1366024017333984,RecurrenceManifold,logmap,8227
7,0.718378511995649,1.139357328414917,RecurrenceManifold,logmap,8227
8,0.6299558232503082,1.137242078781128,RecurrenceManifold,logmap,8227
9,0.7674851541199198,1.1239526271820068,RecurrenceManifold,logmap,8227
10,0.6060653986163451,1.1060783863067627,RecurrenceManifold,logmap,8227
11,0.7361103590988033,1.1114144325256348,RecurrenceManifold,logmap,8227
12,0.7422218824900998,1.1178972721099854,RecurrenceManifold,logmap,8227
13,0.6050837165132269,1.1067779064178467,RecurrenceManifold,logmap,8227
14,0.6801731418423504,1.1024153232574463,RecurrenceManifold,logmap,8227
15,0.5972642445550947,1.130394697189331,RecurrenceManifold,logmap,8227
16,0.9523709337259638,1.1096057891845703,RecurrenceManifold,logmap,8227
17,0.7690777912960925,1.1014554500579834,RecurrenceManifold,logmap,8227
18,0.6095716041428167,1.1093220710754395,RecurrenceManifold,logmap,8227
19,0.7390913088243749,1.1059064865112305,RecurrenceManifold,logmap,8227
20,0.6642770957308389,1.102372646331787,RecurrenceManifold,logmap,8227
21,0.7205485743777803,1.1073739528656006,RecurrenceManifold,logmap,8227
22,0.8761434406502344,1.1220312118530273,RecurrenceManifold,logmap,8227
23,0.6908458194676571,1.1078436374664307,RecurrenceManifold,logmap,8227
24,0.5715418127363845,1.0999324321746826,RecurrenceManifold,logmap,8227
25,0.5713407264529042,1.1094269752502441,RecurrenceManifold,logmap,8227
26,0.7363088762843573,1.099689245223999,RecurrenceManifold,logmap,8227
27,0.693821988389211,1.127117395401001,RecurrenceManifold,logmap,8227
28,0.6346239183742056,1.0966031551361084,RecurrenceManifold,logmap,8227
29,0.5761703935783724,1.1010665893554688,RecurrenceManifold,logmap,8227
30,0.6312091348615971,1.0849590301513672,RecurrenceManifold,logmap,8227
31,0.7598950596514913,1.1346335411071777,RecurrenceManifold,logmap,8227
32,0.5907879047300078,1.0989398956298828,RecurrenceManifold,logmap,8227
33,0.9703735085785478,1.0960299968719482,RecurrenceManifold,logmap,8227
34,0.8173725146513563,1.1124207973480225,RecurrenceManifold,logmap,8227
35,0.7093861338324153,1.100841999053955,RecurrenceManifold,logmap,8227
36,0.6458274286717324,1.1072235107421875,RecurrenceManifold,logmap,8227
37,0.5595420422372466,1.1010761260986328,RecurrenceManifold,logmap,8227
38,0.6615651142534428,1.0954160690307617,RecurrenceManifold,logmap,8227
39,0.6825774066420046,1.1003696918487549,RecurrenceManifold,logmap,8227
40,0.6744853226602726,1.0960752964019775,RecurrenceManifold,logmap,8227
41,0.6327346446931449,1.1249017715454102,RecurrenceManifold,logmap,8227
42,0.6694207072943394,1.1094427108764648,RecurrenceManifold,logmap,8227
43,0.7499830066460663,1.1028530597686768,RecurrenceManifold,logmap,8227
44,0.5923329251301317,1.0988383293151855,RecurrenceManifold,logmap,8227
45,0.5201569636027819,1.1029319763183594,RecurrenceManifold,logmap,8227
46,0.590737621420722,1.0999608039855957,RecurrenceManifold,logmap,8227
47,0.7224649839799628,1.1092050075531006,RecurrenceManifold,logmap,8227
48,0.7622086032515409,1.098785161972046,RecurrenceManifold,logmap,8227
49,0.6842737936684659,1.10996413230896,RecurrenceManifold,logmap,8227
