data_id,r,duration,method,dataset,length
0,0.6652120797569687,14.776225805282593,RecurrenceManifold,logmap,30940
1,0.6988693537329602,14.985142469406128,RecurrenceManifold,logmap,30940
2,0.6744827039718538,14.972620487213135,RecurrenceManifold,logmap,30940
3,0.6675723970709497,14.747375965118408,RecurrenceManifold,logmap,30940
4,0.5660999563539344,14.734774112701416,RecurrenceManifold,logmap,30940
5,0.7694910970302627,14.792659044265747,RecurrenceManifold,logmap,30940
6,0.5843940740569679,14.593132257461548,RecurrenceManifold,logmap,30940
7,0.7235296512408358,14.72096872329712,RecurrenceManifold,logmap,30940
8,0.6155601927171923,14.701205015182495,RecurrenceManifold,logmap,30940
9,0.7659259338707283,14.780312299728394,RecurrenceManifold,logmap,30940
10,0.6046508630783368,14.932833671569824,RecurrenceManifold,logmap,30940
11,0.723606435641901,14.966368675231934,RecurrenceManifold,logmap,30940
12,0.7217661335223747,14.883111238479614,RecurrenceManifold,logmap,30940
13,0.60914554794561,14.673211097717285,RecurrenceManifold,logmap,30940
14,0.6884398558162771,14.795323848724365,RecurrenceManifold,logmap,30940
15,0.5732682565192065,14.62190318107605,RecurrenceManifold,logmap,30940
16,0.9576340888755315,14.592595338821411,RecurrenceManifold,logmap,30940
17,0.7713442289062912,14.863510847091675,RecurrenceManifold,logmap,30940
18,0.6158071973243702,14.797588586807251,RecurrenceManifold,logmap,30940
19,0.7290619977735284,14.637328624725342,RecurrenceManifold,logmap,30940
20,0.667467563824391,14.731939315795898,RecurrenceManifold,logmap,30940
21,0.7204573932201531,14.538731098175049,RecurrenceManifold,logmap,30940
22,0.8803886053654912,14.367574214935303,RecurrenceManifold,logmap,30940
23,0.6862181343076053,14.61360239982605,RecurrenceManifold,logmap,30940
24,0.5583359463923758,14.797762393951416,RecurrenceManifold,logmap,30940
25,0.5786954951586512,14.910648107528687,RecurrenceManifold,logmap,30940
26,0.7352477522461983,14.785749197006226,RecurrenceManifold,logmap,30940
27,0.6862073376401084,14.528940916061401,RecurrenceManifold,logmap,30940
28,0.6264601208529939,14.583667278289795,RecurrenceManifold,logmap,30940
29,0.5807030442368665,14.551531314849854,RecurrenceManifold,logmap,30940
30,0.6095656199170777,14.735403299331665,RecurrenceManifold,logmap,30940
31,0.7770640647401024,14.706356525421143,RecurrenceManifold,logmap,30940
32,0.5813428648618975,14.561277866363525,RecurrenceManifold,logmap,30940
33,0.9675079361397367,14.80600643157959,RecurrenceManifold,logmap,30940
34,0.799296043776763,14.773211240768433,RecurrenceManifold,logmap,30940
35,0.6953765174259967,14.569295167922974,RecurrenceManifold,logmap,30940
36,0.636289859476413,14.405455589294434,RecurrenceManifold,logmap,30940
37,0.5581564328659918,14.465994358062744,RecurrenceManifold,logmap,30940
38,0.6579874797598214,14.577627897262573,RecurrenceManifold,logmap,30940
39,0.6762718803289939,14.42118763923645,RecurrenceManifold,logmap,30940
40,0.6737810957253798,14.535017490386963,RecurrenceManifold,logmap,30940
41,0.6328192489223948,14.702327489852905,RecurrenceManifold,logmap,30940
42,0.6605155085962467,14.702744483947754,RecurrenceManifold,logmap,30940
43,0.7406312376170838,14.577471494674683,RecurrenceManifold,logmap,30940
44,0.5918665033330865,14.566346883773804,RecurrenceManifold,logmap,30940
45,0.5086708493821646,14.432858228683472,RecurrenceManifold,logmap,30940
46,0.5915037608283388,14.472948551177979,RecurrenceManifold,logmap,30940
47,0.733150032658924,14.475354433059692,RecurrenceManifold,logmap,30940
48,0.7610033981854194,14.61083698272705,RecurrenceManifold,logmap,30940
49,0.6934091166522336,14.599985122680664,RecurrenceManifold,logmap,30940
