data_id,r,duration,method,dataset,length
0,0.8218046883533765,7.709380149841309,AniSOM,logmap,2187
1,0.670581784024986,7.898662090301514,AniSOM,logmap,2187
2,0.6006956516023247,7.729013442993164,AniSOM,logmap,2187
3,0.8467545889756429,7.631398439407349,AniSOM,logmap,2187
4,0.33416907479387253,7.777188062667847,AniSOM,logmap,2187
5,0.8391832434328809,7.817914009094238,AniSOM,logmap,2187
6,0.6243165663779771,7.926363945007324,AniSOM,logmap,2187
7,0.7093646644615651,7.624191999435425,AniSOM,logmap,2187
8,0.23308996927726994,7.968642473220825,AniSOM,logmap,2187
9,0.5062858336815695,8.242168664932251,AniSOM,logmap,2187
10,0.5892989998309598,7.6377854347229,AniSOM,logmap,2187
11,0.9470640870949351,7.713872194290161,AniSOM,logmap,2187
12,0.6277806977398535,7.64036226272583,AniSOM,logmap,2187
13,0.6010887801389823,7.864833831787109,AniSOM,logmap,2187
14,0.3720565779628604,7.971904754638672,AniSOM,logmap,2187
15,0.7033655556553204,7.454574346542358,AniSOM,logmap,2187
16,0.9683958285016174,7.863147497177124,AniSOM,logmap,2187
17,0.7703060263872391,8.048214435577393,AniSOM,logmap,2187
18,0.2686013928851045,7.932252407073975,AniSOM,logmap,2187
19,0.3257523889664234,8.431871891021729,AniSOM,logmap,2187
20,0.6508454681033824,8.532763004302979,AniSOM,logmap,2187
21,0.5909981090548054,7.875767707824707,AniSOM,logmap,2187
22,0.9705107090656226,7.707157850265503,AniSOM,logmap,2187
23,0.6618361924141754,7.665887355804443,AniSOM,logmap,2187
24,0.24194079732743345,7.630407810211182,AniSOM,logmap,2187
25,0.7285615948761458,7.516669511795044,AniSOM,logmap,2187
26,0.8798250232995806,7.519122362136841,AniSOM,logmap,2187
27,0.6484505422732051,7.595859527587891,AniSOM,logmap,2187
28,0.31261062642879545,7.701082229614258,AniSOM,logmap,2187
29,0.6203405468391389,7.617239713668823,AniSOM,logmap,2187
30,0.732640704969619,7.6312127113342285,AniSOM,logmap,2187
31,0.8072199957753036,7.3254554271698,AniSOM,logmap,2187
32,0.6751810976840237,7.367544412612915,AniSOM,logmap,2187
33,0.9314681041909753,7.622589349746704,AniSOM,logmap,2187
34,0.6170725734476565,7.731494903564453,AniSOM,logmap,2187
35,0.749621603505594,7.505786657333374,AniSOM,logmap,2187
36,0.27130482459260163,7.447659015655518,AniSOM,logmap,2187
37,0.5204868921189604,7.672181844711304,AniSOM,logmap,2187
38,0.6805274140699686,7.662941932678223,AniSOM,logmap,2187
39,0.5737206183066901,7.527364492416382,AniSOM,logmap,2187
40,0.27515491515433027,7.484241008758545,AniSOM,logmap,2187
41,0.7609468531529052,7.647090673446655,AniSOM,logmap,2187
42,0.6858411755941847,8.02534031867981,AniSOM,logmap,2187
43,0.6637810634756314,7.359880447387695,AniSOM,logmap,2187
44,0.6286862188854961,7.623011827468872,AniSOM,logmap,2187
45,0.3843962118347584,7.391655445098877,AniSOM,logmap,2187
46,0.413229944879554,7.399430990219116,AniSOM,logmap,2187
47,0.53769040028276,7.584155559539795,AniSOM,logmap,2187
48,0.7747078403819976,5.252777576446533,AniSOM,logmap,2187
49,0.6100524311117212,4.979944229125977,AniSOM,logmap,2187
