data_id,r,duration,method,dataset
0,0.7064267120962164,0.15923476219177246,FastICA,logmap
1,0.7146919738837866,0.09246301651000977,FastICA,logmap
2,0.7137093389462387,0.12042021751403809,FastICA,logmap
3,0.6973498279200051,0.10875654220581055,FastICA,logmap
4,0.5722301958934258,0.11095190048217773,FastICA,logmap
5,0.7187537324213625,0.11084103584289551,FastICA,logmap
6,0.6062985274684309,0.11529183387756348,FastICA,logmap
7,0.7580666807214809,0.10943198204040527,FastICA,logmap
8,0.6215185523333213,0.11280655860900879,FastICA,logmap
9,0.779437371432514,0.10488581657409668,FastICA,logmap
10,0.6605027729018027,0.10820388793945312,FastICA,logmap
11,0.6562328731784783,0.11116957664489746,FastICA,logmap
12,0.678195692381818,0.10947108268737793,FastICA,logmap
13,0.6520860045669322,0.1066446304321289,FastICA,logmap
14,0.7008052921378547,0.10980105400085449,FastICA,logmap
15,0.6004117667493105,0.10911917686462402,FastICA,logmap
16,0.9017618633557367,0.11452460289001465,FastICA,logmap
17,0.6972717378071902,0.10605788230895996,FastICA,logmap
18,0.6909367432149435,0.1033327579498291,FastICA,logmap
19,0.7555428091672353,0.10427570343017578,FastICA,logmap
20,0.6908398263421192,0.10578608512878418,FastICA,logmap
21,0.775738145819895,0.10654664039611816,FastICA,logmap
22,0.8888576295080024,0.1108694076538086,FastICA,logmap
23,0.7128367623675085,0.10225200653076172,FastICA,logmap
24,0.5611733170002524,0.10697126388549805,FastICA,logmap
25,0.6248543059882324,0.10444140434265137,FastICA,logmap
26,0.6947562007966889,0.10592055320739746,FastICA,logmap
27,0.6945076488239981,0.10580182075500488,FastICA,logmap
28,0.6551893659885126,0.10198307037353516,FastICA,logmap
29,0.6254754271466922,0.1051323413848877,FastICA,logmap
30,0.6868946722910411,0.10561919212341309,FastICA,logmap
31,0.7377019467846284,0.11059689521789551,FastICA,logmap
32,0.6285313827927217,0.1015782356262207,FastICA,logmap
33,0.8831817293594809,0.11104631423950195,FastICA,logmap
34,0.7887938810150922,0.10169100761413574,FastICA,logmap
35,0.721111139068327,0.10358166694641113,FastICA,logmap
36,0.6745605038619736,0.10643577575683594,FastICA,logmap
37,0.6079346452442985,0.10695767402648926,FastICA,logmap
38,0.708824740490147,0.10407304763793945,FastICA,logmap
39,0.6863083244494688,0.10452127456665039,FastICA,logmap
40,0.6659213799294096,0.10564494132995605,FastICA,logmap
41,0.6644411885119232,0.10525989532470703,FastICA,logmap
42,0.6899226953147009,0.10686182975769043,FastICA,logmap
43,0.7612449876217717,0.10360860824584961,FastICA,logmap
44,0.598959280699505,0.10568571090698242,FastICA,logmap
45,0.5588187781868998,0.10489177703857422,FastICA,logmap
46,0.6428118962254863,0.10422635078430176,FastICA,logmap
47,0.7190559065384539,0.10642886161804199,FastICA,logmap
48,0.7716743778912488,0.1056220531463623,FastICA,logmap
49,0.7045673717096089,0.10793471336364746,FastICA,logmap
