data_id,r,duration,method,dataset,length
0,0.8449225713152005,30.924862146377563,AniSOM,logmap,8227
1,0.8012487998103176,30.837811708450317,AniSOM,logmap,8227
2,0.8491322193257249,30.605948209762573,AniSOM,logmap,8227
3,0.8468877126543628,31.027102947235107,AniSOM,logmap,8227
4,0.5834670932322283,30.773431301116943,AniSOM,logmap,8227
5,0.8810422017619041,31.72118091583252,AniSOM,logmap,8227
6,0.790603727996917,31.245912551879883,AniSOM,logmap,8227
7,0.7408131224881019,30.810106992721558,AniSOM,logmap,8227
8,0.6143429995684965,31.069597244262695,AniSOM,logmap,8227
9,0.7524617374965231,31.326707124710083,AniSOM,logmap,8227
10,0.3727948764747243,29.961815118789673,AniSOM,logmap,8227
11,0.9854698972055418,31.070061206817627,AniSOM,logmap,8227
12,0.8585433077360953,31.235443592071533,AniSOM,logmap,8227
13,0.6185730636136212,30.480688095092773,AniSOM,logmap,8227
14,0.8558550626992787,30.51789402961731,AniSOM,logmap,8227
15,0.8126799237935278,30.32059097290039,AniSOM,logmap,8227
16,0.9246712678852899,30.91203546524048,AniSOM,logmap,8227
17,0.8238936158828667,30.481387615203857,AniSOM,logmap,8227
18,0.8202406515847706,30.174481630325317,AniSOM,logmap,8227
19,0.7885120196553544,30.689579963684082,AniSOM,logmap,8227
20,0.8185633241151252,30.800719738006592,AniSOM,logmap,8227
21,0.4202019687700736,31.476762771606445,AniSOM,logmap,8227
22,0.9559479779865044,30.645267724990845,AniSOM,logmap,8227
23,0.8595016504824134,31.538227796554565,AniSOM,logmap,8227
24,0.6932621557265912,30.428039073944092,AniSOM,logmap,8227
25,0.7710983027765199,29.760002851486206,AniSOM,logmap,8227
26,0.8708818046808523,30.110645055770874,AniSOM,logmap,8227
27,0.7544931122519146,30.311896085739136,AniSOM,logmap,8227
28,0.7689933520955504,31.250813484191895,AniSOM,logmap,8227
29,0.7952789505385931,31.262356996536255,AniSOM,logmap,8227
30,0.5454596622112369,30.527175903320312,AniSOM,logmap,8227
31,0.8066522122976314,30.846487998962402,AniSOM,logmap,8227
32,0.734237388509537,30.985400676727295,AniSOM,logmap,8227
33,0.8605278985007063,30.323444843292236,AniSOM,logmap,8227
34,0.37594834849657466,30.18576192855835,AniSOM,logmap,8227
35,0.7440497186112456,30.380120515823364,AniSOM,logmap,8227
36,0.8155232432576365,30.343202352523804,AniSOM,logmap,8227
37,0.6475161108368127,30.37677550315857,AniSOM,logmap,8227
38,0.843701621833526,30.486980676651,AniSOM,logmap,8227
39,0.7234672946779918,29.825905561447144,AniSOM,logmap,8227
40,0.6289380421682484,30.430975437164307,AniSOM,logmap,8227
41,0.8749685310469113,30.143726110458374,AniSOM,logmap,8227
42,0.7881407618051011,30.414541244506836,AniSOM,logmap,8227
43,0.8551385599379281,30.098405122756958,AniSOM,logmap,8227
44,0.6771357901074575,30.0255184173584,AniSOM,logmap,8227
45,0.37291217355084044,30.275809049606323,AniSOM,logmap,8227
46,0.599223747005103,30.367111206054688,AniSOM,logmap,8227
47,0.8467310566609505,30.184671878814697,AniSOM,logmap,8227
48,0.7481403339529761,19.758002281188965,AniSOM,logmap,8227
49,0.5929916120904442,19.460806846618652,AniSOM,logmap,8227
